,content,id,lat,location,lon,time,user,user_id
0,Tonight’s table spread! Plus a little Netflix &amp; Chill with Rhett ❤️ #SpringBreak2018… https://t.co/dDyxvkdOhf,971545365878108161,-71.0997,"Boston, MA",42.3496,2018-03-08 00:37:20,BUClassGift,240920371
1,Speak on it @SamuelLJackson 💯✊🏾✊🏾👌🏾 https://t.co/4ZI4mWEY1C,971542645188243456,,"Boston, MA",,2018-03-08 00:26:31,DJBACKSPIN01,26171631
2,"This mustachio-haired chicken, clad in a tutu, yellow underpants… https://t.co/8mVXSjLPz8",971542189879844865,-71.10274,"Jamaica Plain, Massachusetts",42.36502,2018-03-08 00:24:43,monocledrop,3020448264
3,Drinking a Duchesse de Bourgogne by Brouwerij Verhaeghe at @meadhall — https://t.co/OWD2245Z4D,971541576848637952,-71.0873,"Norwalk, CT",42.3637,2018-03-08 00:22:16,UID501,1616594420
4,@LoveIsTheTemple https://t.co/JOWquUOEX5,971537533745139713,,02139,,2018-03-08 00:06:12,hoover_dam,35197742
5,cary agos went here⚖️ @ Harvard Law School https://t.co/CAjvC9xPkZ,971534759351418880,-71.105857,in love,42.367008,2018-03-07 23:55:11,dudeamanda,234940447
6,In 10 mins: Panel on Media &amp; Activism: A Collaboration with MIT SPXCE for WMBR's Women's Week 2018,971533458949509121,-71.083889,"Cambridge, MA",42.362222,2018-03-07 23:50:01,wmbr,15673749
7,"Hey there Delilah, I still can't believe I met the Plain White T's last month 💕😍 #naca2018… https://t.co/VwUEinpWA1",971530438526296064,-71.087828,New York City,42.347806,2018-03-07 23:38:01,JessicaLin27,474503907
8,What a day! On to the 2nd event. Proud to represent @RxCelerate at the “Brits in Boston Biotech” event sponsored by… https://t.co/FKC2Xeyxcs,971529655764291585,,"Cambridge, MA",,2018-03-07 23:34:54,RxCelerateUS,918865753884868613
9,"@Bowsnonk door, ass, out",971519071060742145,,02139,,2018-03-07 22:52:51,hoover_dam,35197742
10,@Triscut9 I agree,971514499860746240,,02139,,2018-03-07 22:34:41,hoover_dam,35197742
11,Obligatory #selfie after 4 hours on the chair getting this done :) my stylist certainly has… https://t.co/dJLDOZUc7F,971514195236806657,-71.07872,"Boston, MA",42.35088,2018-03-07 22:33:28,mkveerpn,119783465
12,@ANN_Bamboo https://t.co/5lTXsPHdSR,971511007980990464,,02139,,2018-03-07 22:20:48,hoover_dam,35197742
13,It is windy. #river #storm #wind #weather #Boston #Cambridge #bridge @ Harvard Bridge https://t.co/3XU7CQf5Py,971509808347123717,-71.09132,"Boston, MA",42.35457,2018-03-07 22:16:02,taylortunetracy,15071931
14,The NAAB team has departed from The BAC. These are a few examples of our architecture students… https://t.co/3G8Xxcjz1f,971505654262353920,-71.0857599,BOSTON,42.34847,2018-03-07 21:59:32,DeniseRush,26987797
